model,asset,q_v_stat,a_hat,b_hat,loc_magnitude,scale_magnitude,scale_share,mean_raw,R,replacement
GJR-GARCH,NIKKEI,-0.006443028163210872,0.005493187264294144,0.6622528604812097,0.005493187264294144,0.016006490852514377,0.7444990927562048,0.04739193609550576,0.13595199297675187,False
GJR-GARCH,SP500,-0.0050303410366928925,0.0034870693158267803,0.656813699865681,0.0034870693158267803,0.01198761160789612,0.7746596952134208,0.03493033260128482,0.1440106824665009,False
GJR-GARCH,STOXX,-0.004630660156466087,0.0038790673010783167,0.6524057607575685,0.0038790673010783167,0.012035117959602609,0.7562509649386637,0.03462404321151206,0.13374117309692043,False
GJR-GARCH,TLT,-0.006217826963074177,0.002506095928239454,0.6107599344799157,0.002506095928239454,0.010596585382624698,0.8087341156529914,0.027223778642792178,0.22839691156247413,False
GJR-GARCH,USDJPY,-0.003689856738768366,0.005278553295100687,0.5126961736272923,0.005278553295100687,0.011034380419165803,0.6764191292897658,0.022643738509712227,0.16295262980473532,False
GJR-GARCH,WTI,-0.011169639065391843,0.016141404252489833,0.5263253629091318,0.016141404252489833,0.034734061132969556,0.6827271430306527,0.07332894441275792,0.15232237631186366,False
GARCH-N,ASX200,0.0027927869391912753,0.004263102956119449,0.9230616449224054,0.004263102956119449,0.0015865464091575053,0.2712207706969783,0.020621007656810783,0.13543406731963767,False
GARCH-N,AUDUSD,0.003133816041032066,0.0038550982170356377,0.9397277239605619,0.0038550982170356377,0.001039007202256095,0.2122976751094296,0.017238559260251585,0.18179106465457195,False
GARCH-N,BOVESPA,0.0036149733502165646,0.009443090109823488,0.8408281123580924,0.009443090109823488,0.00612950127390617,0.3936083033881125,0.03850869248780815,0.09387421687612647,False
GARCH-N,BTC,0.026398994484491095,0.07973570773857877,0.3519152662403562,0.07973570773857877,0.055297239780930915,0.40950924049807563,0.08532408942908241,0.309396732635896,False
GARCH-N,FCHI,0.003620000666631741,0.009831208245418676,0.7700774891682645,0.009831208245418676,0.006960483739288028,0.4145194984297829,0.03027317209658487,0.11957784453780829,False
GARCH-N,CBU0,0.0008492526288492244,0.0023775672554057813,0.7848270520229126,0.0023775672554057813,0.0015485992900621808,0.39443036155706485,0.007196998064213363,0.11800095279615005,False
GARCH-N,DJCI,0.003635312486153683,0.008202070217741447,0.7101209417359526,0.008202070217741447,0.006222115019832285,0.43136682712755403,0.021464520607641258,0.1693637865296433,False
GARCH-N,ETH,0.032570986401738736,0.03462310580244343,0.9773277742819846,0.03462310580244343,0.002306138814307995,0.06244749488490512,0.10171647208308844,0.3202134888745718,False
GARCH-N,EURUSD,0.0011837784228271968,0.002920000213466554,0.8298633977240902,0.002920000213466554,0.0025769703428252535,0.4687982801500846,0.015146478231922089,0.07815535761523193,False
GARCH-N,FTSE100,0.004196751455123993,0.00274755048247838,1.0831795890250624,0.00274755048247838,0.00201180213600739,0.42270499735475847,0.024186247606984745,0.17351808859808468,False
GARCH-N,GBPUSD,0.0019806948548665958,0.002310879087594882,0.9699535767666849,0.002310879087594882,0.00039452507532941356,0.145828516395483,0.013130517142285653,0.1508466752225581,False
