model,asset,method,DQ,p_DQ,DQ_rank
Lag-Llama,GBPUSD,Scale,24.146746472435893,0.0004907717669587584,6
Lag-Llama,GBPUSD,QR-Residual,11.544694984645371,0.07293182724143567,6
Lag-Llama,GBPUSD,Isotonic,10.668957331037918,0.09916257916714835,6
Lag-Llama,GBPUSD,Hist-Quantile,,,5
Lag-Llama,GBPUSD,aci,40.7191479608355,3.2889359724038165e-07,6
Lag-Llama,GBPUSD,rolling,24.471269812897678,0.00042762481073082474,6
Lag-Llama,GBPUSD,gamlss,9.294147741725256,0.15769865444965356,6
Lag-Llama,GBPUSD,gbm,2.0068798995796104,0.9190647724716435,6
Lag-Llama,GDAXI,Raw,199.57351965145682,2.3387325694280703e-40,6
Lag-Llama,GDAXI,Conformal,46.9211275095291,1.9401477272656967e-08,6
Lag-Llama,GDAXI,Scale,34.00763385694929,6.704603533079452e-06,6
Lag-Llama,GDAXI,QR-Residual,97.54217327266122,8.16743583266884e-19,6
Lag-Llama,GDAXI,Isotonic,101.45787847814411,1.2453775562903344e-19,6
