n_test,qV,pihat_raw,pihat_cp,p_kup_raw,p_kup_cp,QS_raw,QS_cp,TL_raw,TL_cp,dQS,model,asset,w,convergence_failures,n_fits
1710,0.002618185183817741,0.021052631578947368,0.016374269005847954,6.295860763450012e-05,0.015267006613650658,0.00047127227055390107,0.00044898980520836977,Yellow,Yellow,2.2282465345531302e-05,GARCH-N,FCHI,1000,0,5698
1935,0.003930814521908094,0.026873385012919897,0.018604651162790697,6.828633214439606e-10,0.0006794467075601496,0.0005099357817355216,0.00046375848593838305,Yellow,Yellow,4.617729579713852e-05,EWMA,FCHI,250,0,6448
1860,0.004045214724465004,0.026881720430107527,0.01827956989247312,1.432091001341007e-09,0.001297076185114654,0.000513706709324216,0.0004673619496210561,Yellow,Yellow,4.634475970315984e-05,EWMA,FCHI,500,0,6198
1710,0.00460397093197101,0.027485380116959064,0.018128654970760234,2.2184375447764637e-09,0.0024217578985894495,0.0005335494368559278,0.0004803699796409205,Yellow,Yellow,5.317945721500727e-05,EWMA,FCHI,1000,0,5698
1935,0.0035556210507943636,0.01757105943152455,0.012919896640826873,0.00249841446868293,0.21673624541966596,0.000544104259943803,0.0005248388424372307,Yellow,Green,1.9265417506572364e-05,Hist-Sim,FCHI,250,0,6448
1860,0.0037866691079432094,0.015591397849462365,0.011827956989247311,0.025075925245649167,0.44124593461196526,0.000544997036911203,0.0005313029160277668,Green,Green,1.3694120883436258e-05,Hist-Sim,FCHI,500,0,6198
1710,0.0003880782866563827,0.0152046783625731,0.014035087719298246,0.044544244408181166,0.11392011450113115,0.0006027211297558539,0.0006009578238319862,Green,Green,1.7633059238677303e-06,Hist-Sim,FCHI,1000,0,5698
1911,0.003967596081999307,0.021454735740450027,0.011512297226582941,1.2602310564324704e-05,0.5164546649470014,0.000359754178241302,0.0003373291116423242,Yellow,Green,2.242506659897776e-05,GJR-GARCH,FTSE100,250,0,6370
1836,0.003519613396414302,0.020697167755991286,0.01252723311546841,5.650648658162005e-05,0.2950207151680958,0.0003819463777431517,0.0003593627880067052,Yellow,Green,2.2583589736446482e-05,GJR-GARCH,FTSE100,500,0,6120
1687,0.003156739256300563,0.01778304682868998,0.011262596324836989,0.003787208408485787,0.6094361725013714,0.0003785972914853389,0.00036040048262591734,Yellow,Green,1.8196808859421553e-05,GJR-GARCH,FTSE100,1000,0,5620
1911,0.004196751486702541,0.023024594453165882,0.0141287284144427,9.943912377963215e-07,0.08766663762769922,0.0003798119677963522,0.00034964473853592884,Yellow,Green,3.016722926042336e-05,GARCH-N,FTSE100,250,0,6370
1836,0.0040723704905007395,0.021241830065359478,0.01252723311546841,2.559924932610258e-05,0.2950207151680958,0.00039968576759450466,0.000372424349032145,Yellow,Green,2.726141856235968e-05,GARCH-N,FTSE100,500,0,6120
1687,0.0036529964084891127,0.021932424422050976,0.014226437462951986,2.0940317816853238e-05,0.10089777428408642,0.00040748800663625693,0.0003818052281338845,Yellow,Green,2.5682778502372446e-05,GARCH-N,FTSE100,1000,0,5620
1911,0.004226105287056456,0.02197802197802198,0.015175300889586603,5.5294926354365614e-06,0.034643363501215885,0.0004231027196001858,0.00038844248976777155,Yellow,Green,3.466022983241427e-05,EWMA,FTSE100,250,0,6370
1836,0.004226107961029291,0.02178649237472767,0.015250544662309368,1.1317446371172935e-05,0.03583573871487378,0.0004262881449849818,0.0003916291266154038,Yellow,Green,3.4659018369577975e-05,EWMA,FTSE100,500,0,6120
1687,0.004276390742131972,0.021932424422050976,0.015411973918197985,2.0940317816853238e-05,0.0384930149359608,0.0004416251534766586,0.0004049777278862689,Yellow,Green,3.66474255903897e-05,EWMA,FTSE100,1000,0,5620
