model,asset,method,n_test,mean_var_pct,mean_loss_fraction_pct,ratio_to_raw
PatchTST-FM,FTSE100,State4-ERM,1867,2.7083265521556004,2.648462727491953,1.155124127431785
PatchTST-FM,FTSE100,State-L1,1867,2.834688819322728,2.7784315004736793,1.2090187006270134
PatchTST-FM,FTSE100,POT-Shift,1867,2.7520617432403833,2.698066964240107,1.1737775554682464
PatchTST-FM,FTSE100,POT-Vol,1867,2.732716535833168,2.675641869754681,1.1655266612736521
PatchTST-FM,FTSE100,Rolling250,1867,3.2846503173423316,3.209963845610216,1.4009310763204492
PatchTST-FM,FTSE100,Rolling500,1867,2.9412868698354013,2.8776159016022977,1.2544836686480878
PatchTST-FM,FTSE100,Selected-rolling,1867,3.2846503173423316,3.209963845610216,1.4009310763204492
PatchTST-FM,FTSE100,Gate-selected-rolling,1867,3.2846503173423316,3.209963845610216,1.4009310763204492
PatchTST-FM,FTSE100,Loss-gate,1867,2.7209950783634667,2.6643498110069266,1.160527360756829
PatchTST-FM,FTSE100,Past-minimum,1867,2.7209950783634667,2.6643498110069266,1.160527360756829
PatchTST-FM,GBPUSD,Raw,1621,1.1934739716792275,1.1860128048251564,1.0
PatchTST-FM,GBPUSD,Shift-CP,1621,1.4224870083533778,1.4120507905403483,1.1918877513113477
PatchTST-FM,GBPUSD,Shift-ERM,1621,1.4173391601848764,1.4069755019696522,1.187574420404551
PatchTST-FM,GBPUSD,Vol-CP,1621,1.427074855420351,1.4163836326110286,1.1957318628511395
PatchTST-FM,GBPUSD,Vol-ERM,1621,1.3920982720429407,1.3819297146490046,1.1664253306540462
PatchTST-FM,GBPUSD,State2-ERM,1621,1.4363198174147942,1.4255612857841735,1.2034781247838027
PatchTST-FM,GBPUSD,State4-ERM,1621,1.4340658939754063,1.4233749293079032,1.2015895846958973
PatchTST-FM,GBPUSD,State-L1,1621,1.434058395122609,1.4233675808436126,1.2015833014815371
PatchTST-FM,GBPUSD,POT-Shift,1621,1.4430578164522665,1.4323290426091893,1.2091238273272706
PatchTST-FM,GBPUSD,POT-Vol,1621,1.4272235356910892,1.4165300617952092,1.1958564405748824
PatchTST-FM,GBPUSD,Rolling250,1621,1.5296904370292441,1.5166273648087356,1.2817124405963853
PatchTST-FM,GBPUSD,Rolling500,1621,1.4193309432005317,1.4086756430517335,1.189243315632197
PatchTST-FM,GBPUSD,Selected-rolling,1621,1.4193309432005317,1.4086756430517335,1.189243315632197
PatchTST-FM,GBPUSD,Gate-selected-rolling,1621,1.4193309432005317,1.4086756430517335,1.189243315632197
PatchTST-FM,GBPUSD,Loss-gate,1621,1.1934739716792275,1.1860128048251564,1.0
PatchTST-FM,GBPUSD,Past-minimum,1621,1.3536081616329378,1.3439988960093108,1.1341748490152659
PatchTST-FM,GDAXI,Raw,1878,2.9427607272998593,2.884583249813941,1.0
PatchTST-FM,GDAXI,Shift-CP,1878,3.3146136734569454,3.24503918980689,1.1263619371794054
PatchTST-FM,GDAXI,Shift-ERM,1878,3.295202937862871,3.2262565173213997,1.119765840047212
PatchTST-FM,GDAXI,Vol-CP,1878,3.3183330844391214,3.245798982357036,1.1276258561068504
PatchTST-FM,GDAXI,Vol-ERM,1878,3.273743459589961,3.203005203506711,1.1124735454091084
PatchTST-FM,GDAXI,State2-ERM,1878,3.258514690992123,3.1880299978774578,1.1072985515822025
PatchTST-FM,GDAXI,State4-ERM,1878,3.277044906436403,3.2069575653427327,1.1135954330351783
PatchTST-FM,GDAXI,State-L1,1878,3.258514690992123,3.1880299978774578,1.1072985515822025
PatchTST-FM,GDAXI,POT-Shift,1878,3.360178015787204,3.2891149092035685,1.1418454734069892
PatchTST-FM,GDAXI,POT-Vol,1878,3.3753855805503905,3.300517885204419,1.147013261811295
PatchTST-FM,GDAXI,Rolling250,1878,3.9499380822147616,3.840867751152323,1.3422559454363254
PatchTST-FM,GDAXI,Rolling500,1878,3.4388683673589355,3.361746300871824,1.1685857893428806
PatchTST-FM,GDAXI,Selected-rolling,1878,3.9499380822147616,3.840867751152323,1.3422559454363254
PatchTST-FM,GDAXI,Gate-selected-rolling,1878,3.9499380822147616,3.840867751152323,1.3422559454363254
PatchTST-FM,GDAXI,Loss-gate,1878,3.222607785178104,3.153898765278542,1.0950967760586567
PatchTST-FM,GDAXI,Past-minimum,1878,3.222607785178104,3.153898765278542,1.0950967760586567
PatchTST-FM,GLD,Raw,1490,2.4104450708067655,2.376587513313683,1.0
PatchTST-FM,GLD,Shift-CP,1490,2.8342339860893513,2.789429307396168,1.1758135542747488
PatchTST-FM,GLD,Shift-ERM,1490,2.8329923972094573,2.7882223442676226,1.1752984672914646
PatchTST-FM,GLD,Vol-CP,1490,2.833190633620142,2.786936299361888,1.1753807078756144
PatchTST-FM,GLD,Vol-ERM,1490,2.8335689936374058,2.7873026348506134,1.1755376747452795
PatchTST-FM,GLD,State2-ERM,1490,2.815873217870902,2.770333050904784,1.1681963849640602
PatchTST-FM,GLD,State4-ERM,1490,2.824523500554736,2.77624285353931,1.1717850511355483
PatchTST-FM,GLD,State-L1,1490,2.8329923972094573,2.7882223442676226,1.1752984672914646
PatchTST-FM,GLD,POT-Shift,1490,2.8812791333279817,2.8351514076520377,1.1953307578851526
PatchTST-FM,GLD,POT-Vol,1490,2.9525050772120216,2.902376702249957,1.224879634458474
PatchTST-FM,GLD,Rolling250,1490,3.7551473888573486,3.665208438776112,1.5578647422156429
PatchTST-FM,GLD,Rolling500,1490,3.0843393698948725,3.02904046271442,1.279572559959874
PatchTST-FM,GLD,Selected-rolling,1490,3.0843393698948725,3.02904046271442,1.279572559959874
PatchTST-FM,GLD,Gate-selected-rolling,1490,3.0843393698948725,3.02904046271442,1.279572559959874
PatchTST-FM,GLD,Loss-gate,1490,2.4104450708067655,2.376587513313683,1.0
