model,asset,alpha,n_test,qV,pihat_raw,p_kup_raw,miscal_raw,QS_raw,QS_static,QS_roll,pihat_static,pihat_roll,TL_raw,TL_static,TL_roll,dQS_static,dQS_roll,rel_static,rel_roll
Hist-Sim,IBGL,0.01,1305,0.001706408970854726,0.013793103448275862,0.19281188847186514,0.0037931034482758617,0.00024134879144129464,0.00024026741243212936,0.00024339527493018749,0.00842911877394636,0.014559386973180077,Green,Green,Green,1.081379009165278e-06,-2.046483488892843e-06,0.004480565254573944,-0.008479360831564914
GARCH-N,TLT,0.01,1709,0.0005017830808760303,0.013458162668227034,0.17231335183525553,0.0034581626682270335,0.00027559091614414284,0.00027447504678530094,0.00028994569627045704,0.011117612638970159,0.008777062609713282,Green,Green,Green,1.1158693588419056e-06,-1.4354780126314194e-05,0.004049006311435426,-0.05208727605087747
Moirai-1.1,GBPUSD,0.01,1585,0.0005476772828920534,0.013249211356466877,0.21555135242363277,0.003249211356466877,0.0002018137005753169,0.00020036086339580156,0.00020804643315739817,0.012618296529968454,0.007570977917981073,Green,Green,Green,1.45283717951534e-06,-6.232732582081265e-06,0.007198902628382958,-0.03088359494084599
GJR-GARCH,GDAXI,0.01,1922,-0.006924100032849892,0.005202913631633715,0.019938424038919544,0.004797086368366285,0.00040566638079143094,0.0004039377975675718,0.0004192428182254234,0.01664932362122789,0.008324661810613945,Green,Yellow,Green,1.7285832238591215e-06,-1.3576437433992464e-05,0.004261095584225536,-0.03346700164678582
GARCH-N,NATGAS,0.01,1850,0.004675567775722506,0.011891891891891892,0.4271175368964937,0.0018918918918918916,0.0013434119622323007,0.0013416018092068216,0.0014717376518513655,0.00972972972972973,0.00972972972972973,Green,Green,Green,1.8101530254790998e-06,-0.00012832568961906486,0.001347429587027967,-0.09552221747812231
Moirai-1.1,USDJPY,0.01,1888,0.0011393032347210598,0.013241525423728813,0.17746885569963744,0.0032415254237288128,0.0002054205091815698,0.00020341660203025162,0.0002192967793246573,0.010063559322033898,0.010063559322033898,Green,Green,Green,2.0039071513181623e-06,-1.387627014308752e-05,0.009755146452036697,-0.06755055859988342
EWMA,TLT,0.01,1709,0.000627982634151739,0.014628437682855471,0.07202950117264795,0.004628437682855471,0.000290811673566273,0.0002881976217109402,0.0003032665924423888,0.014043300175541252,0.005851375073142188,Green,Green,Green,2.6140518553328116e-06,-1.245491887611578e-05,0.008988813355654707,-0.042828125581683134
Hist-Sim,EURUSD,0.01,1660,0.0011022546580559053,0.015060240963855422,0.053871864185412344,0.005060240963855421,0.00015892545010359394,0.00015629455290186548,0.00017116504591430562,0.010843373493975903,0.00963855421686747,Green,Green,Green,2.6308972017284593e-06,-1.2239595810711683e-05,0.016554285043795917,-0.07701469967669387
Hist-Sim,NIKKEI,0.01,1851,0.005297441133603083,0.01620745542949757,0.013785783476467861,0.006207455429497568,0.0005509371564144775,0.0005477867370027074,0.0005923116528485226,0.007563479200432199,0.014046461372231226,Yellow,Green,Green,3.1504194117701204e-06,-4.137449643404508e-05,0.005718291778091686,-0.07509839543826026
Hist-Sim,GBPUSD,0.01,1664,0.0014181250780124811,0.018629807692307692,0.0015820132339755544,0.008629807692307692,0.0001970906582906689,0.0001937531977120994,0.0002111353233349349,0.009014423076923076,0.01201923076923077,Yellow,Green,Green,3.3374605785695176e-06,-1.4044665044265998e-05,0.016933631494839483,-0.07125992254565894
EWMA,CBU0,0.01,1055,0.0009799736807461924,0.017061611374407582,0.03623268947867053,0.007061611374407582,0.00014346219394892326,0.00013970765596483172,0.00014518650384911377,0.011374407582938388,0.006635071090047393,Yellow,Green,Green,3.754537984091539e-06,-1.72430990019051e-06,0.0261709226712946,-0.012019263422141827
Hist-Sim,TLT,0.01,1709,0.001177761413393718,0.014628437682855471,0.07202950117264795,0.004628437682855471,0.00038231705122956363,0.0003785242621447153,0.0004083746338297579,0.011702750146284377,0.00994733762434172,Green,Green,Green,3.792789084848319e-06,-2.6057582600194282e-05,0.00992053342284994,-0.06815699827248331
